prolific_id,n_hit,n_fa,n_miss,n_cr,acc_407,sum,dprime,beta,aprime,bppd,c
5e5e449c85f6ea15d731714a,17,4,13,26,72%,60,1.219843601,1.726110782,0.816176471,0.36,0.447492428
5e601fc1a361d5000c494d70,23,8,7,22,75%,60,1.300268989,0.937108816,0.833498024,-0.044510386,-0.049955718
5e722b8cffc65d01103bbc8a,23,4,7,26,82%,60,1.757504441,1.368888741,0.889214047,0.21509434,0.178662008
5e77a0db24d7c931311dd356,21,12,8,18,66%,59,0.817973772,0.87447473,0.746962233,-0.091499027,-0.163980663
5e7bb30e3f9fe31d223a0f04,22,2,8,28,83%,60,2.000923837,2.227625192,0.905844156,0.517241379,0.400283143
5e7f717ffa7e820283155b82,16,15,13,15,53%,59,0.125661347,0.9921357,0.549299569,-0.005379558,-0.062830673
5e81f5cfb7838b90005982bd,17,7,12,20,66%,56,0.829735164,1.184866823,0.749778379,0.116251839,0.204439188
5e8208d95442a6028e919b7f,21,1,9,29,83%,60,2.166631265,3.493743668,0.910509031,0.733944954,0.577381978
5e8214099c77a703baa06067,25,4,5,26,85%,60,1.982658788,1.139994773,0.911923077,0.091703057,0.066084834
5e8233832ca9860790d4d2f5,21,5,9,25,77%,60,1.431178214,1.349932129,0.85047619,0.203821656,0.209655453
5e85eda5501bc3035b24d9eb,24,2,6,28,87%,60,2.208286103,1.92510805,0.925595238,0.44,0.29660201
5e889c2d3aa428000bbf212e,0,0,30,30,50%,60,0,1,NA,0.27327782,2.141198121
5e89e89bf025be000c01eead,15,5,15,24,66%,59,0.902734792,1.503002918,0.762751437,0.07063197,0.451367396
5e8a38ffc5f477073ee6e9f3,24,5,6,25,82%,60,1.732785602,1.107358534,0.887916667,0.12412568,0.058851759
5e8b4b875ac5d50009845a7b,18,7,10,23,71%,58,1.053024199,1.200552603,0.792799632,0.44137931,0.173578113
5e8b811dcdbb58057efa41cd,19,3,11,27,77%,60,1.540523478,1.972546291,0.858674464,0.003589225,0.440970392
5e90f4e46e07c842cce01aa2,16,17,13,13,49%,59,-0.036768026,1.005310313,0.485074375,0.063829787,-0.14404536
5e916b5271c53949d696abba,22,10,8,20,70%,60,1.016165996,0.910660974,0.786363636,-0.07063197,-0.092095778
5e91bb3e4d246b4db5408d67,25,6,5,24,82%,60,1.732785602,0.903049888,0.887916667,-0.369649805,-0.058851759
5e9b09b6aff5bd0009133151,27,22,3,8,58%,60,0.611053355,0.574971758,0.702546296,0.463576159,-0.905705453
5ea088cdb617dc06db511d08,17,3,13,27,73%,60,1.373661504,2.055152361,0.835511983,0.271798424,0.524401379
5ea6ff1a2180430a9ad065fa,17,5,12,25,71%,59,1.135672954,1.500650519,0.804783638,0.517241379,0.357408083
5ea95e9500721703bfe1f46b,22,2,8,28,83%,60,2.000923837,2.227625192,0.905844156,-0.062763333,0.400283143
5eaecf00e002645a4e1f7417,19,13,9,16,61%,57,0.572249551,0.912264668,0.689198414,-9.99E-17,-0.160463429
5eb170206e577a07e9954c65,25,5,5,25,83%,60,1.85048912,1,0.9,0.442538593,0
5eb29fb2f3a18001d2e58416,18,3,12,26,75%,59,1.436822395,1.974270314,0.84535809,0.107304835,0.473404974
5ebd50ddb6a8d902ad31d9ec,17,8,12,22,66%,59,0.81060717,1.171127813,0.745208679,-0.664739884,0.194875191
5ebd5618c83ba403c47de464,29,6,1,24,88%,60,2.468238653,0.348925443,0.937859195,0.213592233,-0.426578284
5ec06105afc3710d3ece8896,25,3,5,27,87%,60,2.136476691,1.357307407,0.923703704,0.761206476,0.142993786
5ec08b60b585e0347768bb09,0,0,30,30,50%,60,0,1,NA,-0.169435216,2.141198121
5ec251b67b846b0113ac8e5c,17,1,13,28,76%,59,1.807283,3.817440136,0.872584637,-0.077514414,0.741212127
5ec27310823652045f1e3597,25,8,5,22,78%,60,1.525423336,0.780413426,0.863181818,0.517241379,-0.162532892
5ec3022338a19e143412435f,25,5,4,25,85%,59,1.961677949,0.896678106,0.910287356,0.588235294,-0.055594415
5ec3b9e83f187802a6aa041e,22,2,8,28,83%,60,2.000923837,2.227625192,0.905844156,-0.204763734,0.400283143
5ecbb2347a5125043b1d3588,18,2,12,28,77%,60,1.645751284,2.5883726,0.865079365,0.210958904,0.577869419
5ecd3478898cb206f41c86e0,23,9,5,18,75%,55,1.293581048,0.7403748,0.831586439,0.3,-0.232377194
5ed416a5b45e9d0ca2e233f6,17,6,13,24,68%,60,0.969970415,1.367343241,0.776348039,0.124324324,0.322555835
5ed772653b309d023ca48655,26,2,4,28,90%,60,2.45815929,1.524979455,0.945054945,-0.08,0.171665416
5eda126ec6a418029cb19e91,26,3,4,27,88%,60,2.268646359,1.190625992,0.934116809,0.283667622,0.076908951
5ede918b4280d611f9a38200,23,9,7,21,73%,60,1.206023867,0.889515166,0.81884058,0.018302327,-0.097078279
5ede9653252ba51223688917,14,5,16,25,65%,60,0.844297269,1.529227209,0.750714286,-0.251497006,0.503095925
5ee24067b1d0696a7834463e,20,7,8,19,72%,54,1.133796713,1.025905414,0.80802487,0.35,0.022557441
5ee4152d9776d110b4445fdf,25,11,5,19,73%,60,1.254535907,0.68809914,0.824210526,0.577358491,-0.297976606
5ee77a7099ecf00464f49455,18,4,12,26,73%,60,1.302420452,1.697316375,0.829059829,-0.756302521,0.406204003
